Models,layer,accuracy,f1,freq_diff
Qwen2.5-1.5B,0,0.7975718235364827,0.6575843838958927,0.1522707034728406
,1,0.8862844091837961,0.7768867924528302,0.2733748886910062
,2,0.9025123211924512,0.8137772675086108,0.2778272484416741
,3,0.9206635412910206,0.8520842671447781,0.2217275155832591
,4,0.9301598749849742,0.8633905478485775,0.2662511130899376
,5,0.9389349681452096,0.881860465116279,0.2226179875333926
,6,0.9450655126818128,0.8961599636446262,0.1763134461264469
,7,0.9423007573025604,0.8938992042440318,0.1478183437221727
,8,0.9472292342829668,0.9020307966971658,0.1629563668744434
,9,0.9404976559682654,0.8922742110990207,0.138913624220837
,10,0.950354609929078,0.9084054113994232,0.1460373998219055
,11,0.9478302680610652,0.9039823008849558,0.1504897595725733
,12,0.9497535761509796,0.9065713008493518,0.1531611754229741
,13,0.950354609929078,0.9091309130913092,0.1317898486197684
,14,0.9490323356172616,0.9067722075637644,0.138913624220837
,15,0.951075850462796,0.908395228449246,0.1460373998219056
,16,0.9483110950835436,0.9059492563429572,0.1219946571682992
,17,0.9502344031734584,0.9085285019885108,0.1282279608192341
,18,0.950354609929078,0.9086080991369772,0.1326803205699019
,19,0.9504748166846976,0.909251101321586,0.1317898486197684
,20,0.9491525423728814,0.906395220181456,0.1335707925200355
,21,0.9483110950835436,0.9052028218694884,0.1308993766696349
,22,0.9398966221901672,0.8925193465176269,0.1157613535173641
,23,0.9377329005890132,0.8880726015557476,0.1326803205699021
,24,0.9370116600552952,0.8878424657534246,0.1211041852181656
,25,0.931001322274312,0.877820349084717,0.1193232413178985
,26,0.9334054573867052,0.8824278438030561,0.1113089937666963
,27,0.9290780141843972,0.8742004264392325,0.1282279608192342
LLaMA-3.2-3B,0,0.7438453224450583,0.6309050008652016,0.1233362910381544
,1,0.8890356671070013,0.806613645876936,0.1659272404614019
,2,0.9345502581962292,0.8809263709853616,0.1668145519077196
,3,0.9590488771466316,0.9254318827902908,0.1082519964507542
,4,0.966494535847244,0.9391228452978398,0.0745341614906832
,5,0.9761018373964212,0.9565407294169032,0.0479148181011535
,6,0.9752611985108682,0.9547848990342406,0.0629991126885537
,7,0.9743004683559504,0.9532342657342656,0.0523513753327418
,8,0.9744205596253152,0.9536048791113048,0.048802129547471
,9,0.9765822024738802,0.9569441377787592,0.064773735581189
,10,0.9729794643929386,0.95124593716143,0.0452528837622006
,11,0.9737000120091268,0.952546045503792,0.0425909494232475
,12,0.9756214723189623,0.9555506897306766,0.0550133096716947
,13,0.9756214723189623,0.955511724742494,0.0550133096716948
,14,0.9737000120091268,0.9519420671494404,0.064773735581189
,15,0.971538369160562,0.9487123999134388,0.0461401952085182
,16,0.9729794643929386,0.9503201589754912,0.0745341614906832
,17,0.969496817581362,0.9451166810717372,0.0523513753327418
,18,0.9703374564669148,0.946617678841582,0.0461401952085182
,19,0.96817581361835,0.942752214301145,0.0603371783496007
,20,0.9699771826588208,0.94586401039411,0.0585625554569654
,21,0.9670949921940676,0.940897325280414,0.0576752440106477
,22,0.9684159961570794,0.9431351351351352,0.059449866903283
,23,0.9670949921940676,0.940897325280414,0.0576752440106477
,24,0.9674552660021616,0.940868426794676,0.0674356699201419
,25,0.9703374564669148,0.9456066945606696,0.0771960958296361
,26,0.9699771826588208,0.9449823943661972,0.0789707187222715
,27,0.9682959048877148,0.9421560035056968,0.0709849157054125
Qwen3-4B-Base,0,0.7834867075664622,0.6051282051282051,0.1567775603392042
,1,0.8715490797546013,0.7364280094413848,0.1704148727984344
,2,0.8986451942740287,0.7876840696117805,0.1852198303979125
,3,0.9065695296523516,0.8096849778703462,0.1417612524461838
,4,0.9343047034764826,0.8571428571428571,0.1657560339204175
,5,0.9455521472392638,0.8812709030100334,0.1394598825831702
,6,0.9483640081799593,0.8879023307436182,0.1245988258317025
,7,0.9511758691206544,0.8932364449413079,0.1268845401174169
,8,0.9528374233128836,0.897013675690762,0.1303052837573386
,9,0.9524539877300614,0.8950930626057529,0.1348871493803001
,10,0.9501533742331288,0.8932092004381161,0.0983078930202216
,11,0.950920245398773,0.8930362116991644,0.1371611219830397
,12,0.9392893660531696,0.8752298397688468,0.0788675799086757
,13,0.94670245398773,0.8861588861588862,0.1211572080887148
,14,0.9478527607361964,0.8887070376432079,0.1143000652315721
,15,0.9498977505112476,0.8931297709923665,0.1154363992172211
,16,0.9469580777096116,0.8873812754409769,0.1165805609915199
,17,0.95219836400818,0.8984247691472026,0.0994350945857794
,18,0.9501533742331288,0.8944805194805194,0.0937247227658186
,19,0.9501533742331288,0.8948220064724919,0.0937208088714938
,20,0.9473415132924335,0.889662560257097,0.0822974559686887
,21,0.9501533742331288,0.8947652455477604,0.0948636660143509
,22,0.955521472392638,0.904552934722984,0.0937273320287018
,23,0.9533486707566462,0.9007882576787172,0.0891532941943901
,24,0.9534764826175868,0.9005464480874317,0.0948701891715591
,25,0.9455521472392638,0.8853606027987083,0.1051519895629484
,26,0.9418456032719836,0.8779178964314462,0.1131532941943901
,27,0.9442740286298568,0.8820984315846403,0.1142987606001304
,28,0.9478527607361964,0.8878504672897196,0.123446836268754
,29,0.9413343558282208,0.8757780784844384,0.1291559034572733
,30,0.9441462167689162,0.8815397126592572,0.1177286366601435
,31,0.9412065439672802,0.8758099352051836,0.1223000652315721
,32,0.9405674846625768,0.8749663888141974,0.1165857795172863
,33,0.9395449897750512,0.8736307774512423,0.1074429223744292
,34,0.9414621676891616,0.8766163793103449,0.1165857795172863
,35,0.9419734151329244,0.877562028047465,0.1165857795172863
Llama-3.1-8B,0,0.785285477072423,0.616822429906542,0.1810933940774487
,1,0.9116106782475412,0.8113413304252999,0.2072892938496583
,2,0.9504406693064248,0.8902093944538766,0.1697038724373576
,3,0.9674287903946864,0.9298486932599724,0.0706150341685649
,4,0.9784135904968706,0.951838130521516,0.0956719817767652
,5,0.9813513858730362,0.9589887640449438,0.0489749430523916
,6,0.984033720781709,0.9645591153955204,0.0580865603644646
,7,0.9822454975092604,0.9605897363198186,0.0569476082004556
,8,0.9810959254055436,0.9585434173669468,0.0489749430523916
,9,0.9784135904968706,0.9528328216578288,0.0489749430523916
,10,0.9776472090943926,0.9515369703683192,0.0432801822323462
,11,0.9818623068080214,0.9602017937219732,0.042141230068337
,12,0.9776472090943926,0.951402388225493,0.0353075170842824
,13,0.9790522416656022,0.9543937708565072,0.0432801822323462
,14,0.9816068463405287,0.9591605218377766,0.0649202733485193
,15,0.9767530974581684,0.9491620111731844,0.0489749430523918
,16,0.9798186230680802,0.9557422969187676,0.0546697038724373
,17,0.9793077021330948,0.9546979865771812,0.0535307517084281
,18,0.9767530974581684,0.9492470719464584,0.0546697038724373
,19,0.9768808276919146,0.9494836728998046,0.0535307517084282
,20,0.9763699067569294,0.948280682135868,0.0546697038724374
,21,0.975475795120705,0.9464285714285714,0.0615034168564919
,22,0.9741984927832418,0.9434490481522956,0.0671981776765375
,23,0.9727934602120322,0.9408825978351374,0.0603644646924829
,24,0.9745816834844808,0.9447375728964176,0.0558086560364464
,25,0.9739430323157492,0.9430167597765364,0.0683371298405467
,26,0.9744539532507344,0.9443516972732332,0.0535307517084282
,27,0.9745816834844808,0.9443978765018162,0.0637813211845101
,28,0.9741984927832418,0.9438264738598444,0.0580865603644646
,29,0.9745816834844808,0.9447682486816542,0.0546697038724373
,30,0.9725379997445396,0.9406241369787351,0.0558086560364464
,31,0.9775194788606464,0.9500567536889898,0.0797266514806378
Qwen3-8B-Base,0,0.7750511247443763,0.5905072126570498,0.1670763209393346
,1,0.8753834355828221,0.745497259201253,0.1658303979125897
,2,0.9042689161554192,0.7957458412871558,0.201218525766471
,3,0.9124488752556236,0.8197842672980794,0.1543235485975211
,4,0.9380112474437629,0.8642597257206829,0.1726079582517938
,5,0.9367331288343558,0.8666846215997845,0.1211663405088062
,6,0.9470858895705522,0.8840985442329228,0.1463144161774298
,7,0.9493865030674846,0.8906077348066298,0.1223065883887801
,8,0.9527096114519428,0.895774647887324,0.1291741682974559
,9,0.953859918200409,0.8998613037447989,0.0948871493803
,10,0.9574386503067484,0.9076795120598836,0.0708910632746249
,11,0.958077709611452,0.907761529808774,0.1131676451402479
,12,0.9592280163599182,0.9103680809216071,0.106310502283105
,13,0.9537321063394684,0.900330396475771,0.0845988258317025
,14,0.9539877300613496,0.902439024390244,0.0663039791258969
,15,0.9562883435582822,0.904947192884936,0.1063052837573386
,16,0.9528374233128836,0.8995371630819493,0.0788767123287671
,17,0.9560327198364008,0.9051296194153337,0.089163731245923
,18,0.9520705521472392,0.8990035012119579,0.0617325505544683
,19,0.9574386503067484,0.907934752557368,0.0903052837573386
,20,0.9565439672801636,0.906387665198238,0.0880182648401826
,21,0.955521472392638,0.9046052631578948,0.0948688845401173
,22,0.9557770961145194,0.9055676855895196,0.0663078930202217
,23,0.9532208588957056,0.9011345218800648,0.0674442270058708
,24,0.9523261758691206,0.8987238664132501,0.0685949119373777
,25,0.9539877300613496,0.901531728665208,0.0765949119373777
,26,0.9461912065439672,0.8860005415651232,0.0903091976516634
,27,0.9475971370143148,0.8900214592274678,0.0571702544031311
,28,0.9454243353783232,0.8853075476766049,0.081163731245923
,29,0.9477249488752556,0.8888284860016309,0.0868832354859752
,30,0.9470858895705522,0.887683125339121,0.0834559686888454
,31,0.9468302658486708,0.8880516684607105,0.076593607305936
,32,0.9401840490797546,0.8737864077669902,0.106310502283105
,33,0.945935582822086,0.8860145513338723,0.0857351598173515
,34,0.946319018404908,0.8856831790963527,0.0914572733202869
,35,0.9478527607361964,0.8890097932535365,0.0857416829745597
Qwen2.5-3B,0,0.8242577232840486,0.7018760195758564,0.1487088156723063
,1,0.8755860079336458,0.7853142501555694,0.182546749777382
,2,0.8942180550546941,0.8155136268343816,0.182546749777382
,3,0.8878470970068518,0.8118572292800968,0.1682991985752449
,4,0.8969828104339463,0.8233353947639662,0.1861086375779163
,5,0.8991465320351004,0.8274727534443759,0.1691896705253784
,6,0.9224666426253156,0.8609014448997196,0.1691896705253783
,7,0.9259526385382858,0.8671268334771355,0.1745325022261799
