Models,layer,pooling,accuracy,f1,freq_diff,cohens_h
,17,,0.9493618773157678,0.9489584197858744,0.1203111422328336,0.5214233549734679
,18,,0.9454096335940716,0.945020316775852,0.1169888046165138,0.4814705795354128
,19,,0.9445862494853848,0.9442650103519667,0.1150382600332402,0.4694065980706607
,20,,0.9424454508027996,0.9418614322548448,0.1137069627354868,0.4433867733182817
,21,,0.9430218196788802,0.9428193686993884,0.1174055732255697,0.4966980732170261
,22,,0.9366817620419926,0.937280809069407,0.1142435312281174,0.5258794565488931
,23,,0.9402223137093454,0.9403156856297272,0.1218044224717584,0.5258118302527479
,24,,0.940057636887608,0.940141424107877,0.1133964954315748,0.489882287674543
,25,,0.9364347468093864,0.9363246453315738,0.1239034514177725,0.5107142826961346
,26,,0.9369287772745986,0.9366208836670528,0.1352844403573748,0.5559456441526973
,27,,0.931823795800741,0.931366047745358,0.1378137364908758,0.5550110065387104
LLaMA-3.2-3B,0,mean_pool,0.8375463153561137,0.8347986268106841,0.2545359441833782,0.6957543889879638
,1,,0.8792095512556608,0.8771871075763918,0.1946022559499202,0.5775128352823167
,2,,0.9242486620008232,0.9250448101678344,0.1130337211362428,0.4655848080803912
,3,,0.9498559077809798,0.9495234148363032,0.1034817895740354,0.45232000385078
,4,,0.9651708522025524,0.9652281134401972,0.075296757810193,0.4347362589763084
,5,,0.9696171263894608,0.9695820624845436,0.0609292083927411,0.3577378049063866
,6,,0.9706051873198848,0.9706728004600343,0.0637942816647122,0.4145889030096614
,7,,0.9728283244133388,0.9727137423515791,0.0698078983557044,0.4195057145770016
,8,,0.9743104158089748,0.974274406332454,0.0558841147041702,0.358695213041746
,9,,0.9762041992589544,0.976219863408212,0.0533008242569454,0.3961199672638913
,10,,0.9746397694524496,0.9746543778801844,0.0543773358868144,0.3574521227261891
,11,,0.9744750926307122,0.9744603723842478,0.0672111093300487,0.4824087191676063
,12,,0.9763688760806916,0.9763844318275324,0.0513907754089647,0.3445948772245164
,13,,0.9747221078633184,0.9747719615416222,0.0494132336688292,0.3308862058268822
,14,,0.9738987237546316,0.9739459192898824,0.0558166218120154,0.3890093644928583
,15,,0.9729106628242076,0.9729151230756564,0.0539065729640346,0.3455958365206157
,16,,0.9719226018937834,0.9719040949163714,0.0608347183437244,0.3898466730641723
,17,,0.969287772745986,0.969318088344164,0.059893192498165,0.3658341781413652
,18,,0.9681350349938246,0.9681297867083916,0.0589381680741747,0.3497850111620808
,19,,0.96904075751338,0.9690738608323738,0.0589786638094675,0.3394252005794786
,20,,0.9673939892960066,0.96759410801964,0.0598391981844411,0.3857854266180385
,21,,0.965829559489502,0.9659919691879046,0.0614269684723828,0.3597091126221294
,22,,0.9686290654590366,0.9686806411837238,0.0628797529760147,0.377763760440637
,23,,0.9684643886372992,0.9684799604970784,0.0678438551939998,0.4017257458904373
,24,,0.9672293124742692,0.9673663496228272,0.0589111709173126,0.3575772331520199
,25,,0.9664059283655826,0.9665409217648024,0.0663370763766439,0.4008419944922337
,26,,0.9632770687525732,0.9634066294716114,0.0658528148754333,0.3940315561509155
,27,,0.962783038287361,0.9629143419757138,0.068825876774852,0.4104446002992019
LLaMA-3.2-3B,0,last_token,0.7577603952243722,0.7438174851967956,0.3495861842049759,0.8104294137469743
,1,,0.8765747221078634,0.8748643459387261,0.2288785212307328,0.7109277792626236
,2,,0.9191436805269658,0.9176865046102264,0.1935493668323055,0.7028662912958619
,3,,0.9549608892548374,0.9545945048559809,0.1103154449047084,0.5004769177971413
,4,,0.9679703581720872,0.967779342334134,0.0833014148197517,0.4491209574860755
,5,,0.9745574310415808,0.9744438011744272,0.0653280576389299,0.4021645741623296
,6,,0.9747221078633184,0.9746511435884732,0.0598661953413031,0.3751212232984038
