model,layer,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_n,high_freq_accuracy,hf_precision,hf_recall,hf_f1,hf_auc,hf_n,low_freq_accuracy,lf_precision,lf_recall,lf_f1,lf_auc,lf_n,accuracy_difference,cohens_h,z_statistic,p_value,p_value_corrected,significant_fdr,n_high,n_low
,10,0.977521613832853,0.979335427343362,0.97562582345191,0.977477105849352,0.996745853099975,12145,0.997578692493946,1,0.997578692493946,0.998787878787878,,2065,0.939771030363364,1,0.939771030363364,0.968950474724146,,2009,0.0578076621305818,0.397444078494694,10.5649506669042,0.0,0.0,True,2065,2009
,11,0.97521613832853,0.977652706505545,0.97266139657444,0.975150664575249,0.996639670786285,12145,0.996125907990314,1,0.996125907990314,0.998059194565744,,2065,0.933797909407665,1,0.933797909407665,0.965765765765765,,2009,0.0623279985826492,0.395884423726259,10.7953643648019,0.0,0.0,True,2065,2009
,12,0.977439275421984,0.975869993434011,0.979084321475625,0.977474514962183,0.996367279456988,12145,0.998547215496368,1,0.998547215496368,0.999273079718924,,2065,0.945246391239422,1,0.945246391239422,0.971852610030706,,2009,0.0533008242569454,0.396119967263891,10.2620351820945,0.0,0.0,True,2065,2009
,13,0.975710168793742,0.978624689312344,0.97266139657444,0.975633930783844,0.996439333194053,12145,0.994673123486682,1,0.994673123486682,0.997329448895362,,2065,0.935788949726231,1,0.935788949726231,0.966829519156595,,2009,0.0588841737604508,0.3662838270653,10.3152058378731,0.0,0.0,True,2065,2009
,14,0.975710168793742,0.981176078627353,0.970026350461133,0.975569358178053,0.996311645944912,12145,0.990799031476997,1,0.990799031476997,0.995378253466309,,2065,0.93529118964659,1,0.93529118964659,0.96656378600823,,2009,0.0555078418304072,0.322272825881735,9.43630318263274,0.0,0.0,True,2065,2009
,15,0.974392754219843,0.978726940335715,0.969861660079051,0.974274133509802,0.996262046289251,12145,0.987409200968523,1,0.987409200968523,0.993664717348927,,2065,0.938775510204081,1,0.938775510204081,0.968421052631579,,2009,0.0486336907644413,0.275174705773637,8.26770120780081,2.22044604925031e-16,2.22044604925031e-16,True,2065,2009
,16,0.973734046932894,0.977585920637556,0.969696969696969,0.97362546506821,0.995993587136045,12145,0.991767554479418,1,0.991767554479418,0.99586676391928,,2065,0.934295669487307,1,0.934295669487307,0.966031909418425,,2009,0.0574718849921117,0.336728308348451,9.77018946115614,0.0,0.0,True,2065,2009
,17,0.972828324413338,0.976435446398938,0.969038208168643,0.972722764093238,0.995740490588051,12145,0.99322033898305,1,0.99322033898305,0.996598639455782,,2065,0.933797909407665,1,0.933797909407665,0.965765765765765,,2009,0.0594224295753853,0.355585310274202,10.1676782623685,0.0,0.0,True,2065,2009
,18,0.972004940304652,0.977507497500833,0.966238471673254,0.97184031803876,0.995660843683363,12145,0.989830508474576,1,0.989830508474576,0.994889267461669,,2065,0.930811348929815,1,0.930811348929815,0.964166022170662,,2009,0.0590191595447604,0.330306943650627,9.69578836607818,0.0,0.0,True,2065,2009
,19,0.972416632358995,0.977367282409718,0.967226613965744,0.972270507408327,0.995578051037801,12145,0.988377723970944,1,0.988377723970944,0.994154895275207,,2065,0.931806869089099,1,0.931806869089099,0.964699819634114,,2009,0.0565708548818452,0.312368970768663,9.26585262631893,0.0,0.0,True,2065,2009
,20,0.972251955537258,0.977042089502578,0.967226613965744,0.972109575436563,0.995550702075126,12145,0.989346246973365,1,0.989346246973365,0.994644595910418,,2065,0.926829268292683,1,0.926829268292683,0.962025316455696,,2009,0.0625169786806826,0.341024204381424,10.0047126267385,0.0,0.0,True,2065,2009
,21,0.971675586661177,0.975905616483881,0.967226613965744,0.971546732837055,0.995283761555445,12145,0.991767554479418,1,0.991767554479418,0.99586676391928,,2065,0.924838227974116,1,0.924838227974116,0.960951642099819,,2009,0.0669293265053023,0.373709356677818,10.7412840910635,0.0,0.0,True,2065,2009
,22,0.972004940304652,0.974346242965905,0.969532279314888,0.971933300313686,0.99514072526032,12145,0.991283292978208,1,0.991283292978208,0.995622568093385,,2065,0.932802389248382,1,0.932802389248382,0.96523306721607,,2009,0.0584809037298259,0.33744045788935,9.81590728089494,0.0,0.0,True,2065,2009
,23,0.97274598600247,0.975327040900811,0.970026350461133,0.972669474031871,0.994911411598064,12145,0.990314769975786,1,0.990314769975786,0.995133819951338,,2065,0.933797909407665,1,0.933797909407665,0.965765765765765,,2009,0.0565168605681214,0.323303105702028,9.48624641142491,0.0,0.0,True,2065,2009
,24,0.971922601893783,0.975601659751037,0.968050065876152,0.971811192857733,0.995051071645441,12145,0.990799031476997,1,0.990799031476997,0.995378253466309,,2065,0.931309109009457,1,0.931309109009457,0.964432989690721,,2009,0.0594899224675401,0.33823467800387,9.86227934629601,0.0,0.0,True,2065,2009
,25,0.972663647591601,0.974694012570294,0.970520421607378,0.972602739726027,0.995168928454354,12145,0.993704600484261,1,0.993704600484261,0.996842360942433,,2065,0.933300149328023,1,0.933300149328023,0.965499485066941,,2009,0.0604044511562376,0.363593757742674,10.3357104271951,0.0,0.0,True,2065,2009
,26,0.972828324413338,0.97470238095238,0.970849802371541,0.972772277227722,0.995123138941733,12145,0.994188861985472,1,0.994188861985472,0.997085964060223,,2065,0.933300149328023,1,0.933300149328023,0.965499485066941,,2009,0.0608887126574483,0.369838147060058,10.452859990006,0.0,0.0,True,2065,2009
,27,0.969534787978592,0.974691974691974,0.964097496706192,0.96936578903792,0.994389381323888,12145,0.989830508474576,1,0.989830508474576,0.994889267461669,,2065,0.922349427575908,1,0.922349427575908,0.959606421543241,,2009,0.0674810808986678,0.362762831727865,10.5630832613603,0.0,0.0,True,2065,2009
Llama-3.1-8B,0,0.80988060930424,0.843527478546649,0.760869565217391,0.800069270066672,0.901517280313932,12145,0.900187149095446,1,0.900187149095446,0.947472094550229,,1603,0.459910198845413,1,0.459910198845413,0.630052724077328,,1559,0.440276950250032,1.00818506916663,26.6033277371679,0.0,0.0,True,1603,1559
,1,0.907286949361877,0.929638637943015,0.881258234519104,0.904802164355766,0.970608231167262,12145,0.962570180910792,1,0.962570180910792,0.980928162746344,,1603,0.692110327132777,1,0.692110327132777,0.818043972706595,,1559,0.270459853778014,0.787041632219156,20.205068953076,0.0,0.0,True,1603,1559
,2,0.947879785920131,0.961323155216285,0.933300395256917,0.947104537478064,0.989031398182022,12145,0.988147223955084,1,0.988147223955084,0.99403828051459,,1603,0.815907633098139,1,0.815907633098139,0.898622394913458,,1559,0.172239590856944,0.668730064503167,16.3781152165471,0.0,0.0,True,1603,1559
,3,0.971922601893783,0.974813587406793,0.968873517786561,0.971834475923019,0.996115064258808,12145,0.993761696818465,1,0.993761696818465,0.996871088861076,,1603,0.905708787684413,1,0.905708787684413,0.950521709861999,,1559,0.0880529091340522,0.466092300933294,11.3957364353024,0.0,0.0,True,1603,1559
,4,0.978262659530671,0.974509803921568,0.982213438735177,0.978346456692913,0.997607704743798,12145,0.997504678727386,1,0.997504678727386,0.998750780762023,,1603,0.940346375881975,1,0.940346375881975,0.969256198347107,,1559,0.0571583028454104,0.393525666192778,9.21542477194136,0.0,0.0,True,1603,1559
,5,0.982461918484973,0.977350496985497,0.987812911725955,0.982553853714472,0.998428851585464,12145,0.998128509045539,1,0.998128509045539,0.999063378083047,,1603,0.960872354073123,1,0.960872354073123,0.980045796532548,,1559,0.0372561549724158,0.311692132020835,7.31139349270349,2.64455124465712e-13,4.23128199145139e-13,True,1603,1559
,6,0.98262659530671,0.979859177992467,0.985507246376811,0.982675096477543,0.998250995193091,12145,0.995633187772925,1,0.995633187772925,0.99781181619256,,1603,0.95445798588839,1,0.95445798588839,0.976698391860846,,1559,0.0411752018845357,0.297859294287315,7.34814170283598,2.00950367457153e-13,3.38442724138363e-13,True,1603,1559
,7,0.985014409221902,0.986134037636183,0.983860342555994,0.984995877988458,0.998829540329157,12145,0.996257018091079,1,0.996257018091079,0.998125,,1603,0.953175112251443,1,0.953175112251443,0.976026272577996,,1559,0.043081905839636,0.313795597436738,7.64611266234368,2.06501482580279e-14,4.57411886145564e-14,True,1603,1559
