Models,layer,accuracy,f1,auc
,35,0.5103334705640181,0.4063092742338025,0.495794659703515
Llama-3.2-1B,0,0.4978180321119802,0.4882959979864082,0.4919346322639767
,4,0.4660354055166735,0.4110435019525928,0.44137835951566
,8,0.4788801976121861,0.410762498836235,0.4462409969438585
,12,0.5045697818032112,0.4691662990736656,0.4952437075962266
,15,0.5058871963771099,0.4551974580118021,0.5054340232919332
SmolLM2-360M,0,0.4724578015644298,0.395509010283989,0.4462819729305743
,4,0.4759983532317826,0.4278007552598453,0.4492126644490278
,8,0.4228900782214903,0.4513502935420743,0.3894859062130985
,12,0.4655413750514615,0.4611041926110419,0.4363792077809575
,16,0.4057636887608069,0.3564868479714668,0.3565195452473604
,20,0.4083985179086044,0.4193939393939394,0.3747643677375419
,24,0.4723754631535611,0.4766416203854949,0.4499908420974758
,28,0.4895841910251132,0.4668444138642814,0.4679529004490166
,31,0.561547962124331,0.5181431544656592,0.5879819383491195
