Models,layer,r2,rmse,spearman_r,spearman_p,best_alpha,n_train,n_test
,26,0.743220329284668,1.210152500804317,0.866968641414214,0.0,100.0,28336,6073
,27,0.708324134349823,1.289763289032464,0.8490332691410671,0.0,100.0,28336,6073
LLaMA-3.2-3B,0,0.5705368518829346,1.565030147518054,0.7441026080796902,0.0,100.0,28336,6073
,1,0.6884911060333252,1.332892131327201,0.8299447726491679,0.0,100.0,28336,6073
,2,0.7443263530731201,1.207543323126663,0.8685236990508967,0.0,100.0,28336,6073
,3,0.7960842847824097,1.078413109361222,0.8977162732815102,0.0,100.0,28336,6073
,4,0.8208366632461548,1.010844556259243,0.9095885655422296,0.0,100.0,28336,6073
,5,0.8345556855201721,0.9713722240961566,0.9174861145484786,0.0,100.0,28336,6073
,6,0.8461114168167114,0.936834766880448,0.9222491249609356,0.0,100.0,28336,6073
,7,0.8512075543403625,0.9211921425796942,0.9248484444919752,0.0,100.0,28336,6073
,8,0.8545049428939819,0.9109276380054174,0.9260148930401448,0.0,100.0,28336,6073
,9,0.8558802604675293,0.9066119950888456,0.9269954733801412,0.0,100.0,28336,6073
,10,0.8591084480285645,0.896400796821475,0.9286898441191062,0.0,100.0,28336,6073
,11,0.8582026362419128,0.8992778331128163,0.9281866317234412,0.0,100.0,28336,6073
,12,0.8568364977836609,0.9035994474761408,0.9276436390159868,0.0,100.0,28336,6073
,13,0.8598781228065491,0.8939489610000376,0.9287129060210456,0.0,100.0,28336,6073
,14,0.8618329763412476,0.8876913844862041,0.9288616419738094,0.0,100.0,28336,6073
,15,0.858421802520752,0.8985825463015921,0.9269513027095057,0.0,100.0,28336,6073
,16,0.8544766306877136,0.9110162952820714,0.9244393273970636,0.0,100.0,28336,6073
,17,0.8495496511459351,0.9263100381459044,0.9221730985703724,0.0,100.0,28336,6073
,18,0.8463802337646484,0.93601608455931,0.920239641037852,0.0,100.0,28336,6073
,19,0.8466132879257202,0.9353057932971708,0.9198158140604248,0.0,100.0,28336,6073
,20,0.8451123237609863,0.9398708247647426,0.919348142839944,0.0,100.0,28336,6073
,21,0.8426882028579712,0.9471973197928896,0.9185321318552848,0.0,100.0,28336,6073
,22,0.8413201570510864,0.9513068759371776,0.9175774566500738,0.0,100.0,28336,6073
,23,0.8420961499214172,0.9489780010833072,0.9178484124257776,0.0,100.0,28336,6073
,24,0.8418599367141724,0.9496876064951952,0.9176921493024636,0.0,100.0,28336,6073
,25,0.8395602107048035,0.9565678622953204,0.9160454323291788,0.0,100.0,28336,6073
,26,0.8362560272216797,0.966367838288152,0.9146079210143324,0.0,100.0,28336,6073
,27,0.8156706094741821,1.025314473548764,0.9041479059370372,0.0,100.0,28336,6073
Qwen3-4B-Base,0,0.4584525227546692,1.778833590679257,0.6752743093538904,0.0,100.0,21991,4713
,1,0.5664475560188293,1.591614433083928,0.7575043138543355,0.0,100.0,21991,4713
,2,0.6301364898681641,1.470069211640993,0.7990344689483201,0.0,100.0,21991,4713
,3,0.6591784358024597,1.411174037027596,0.8190788528632877,0.0,100.0,21991,4713
,4,0.7004683017730713,1.322934723778388,0.8454309944320916,0.0,100.0,21991,4713
,5,0.7167867422103882,1.286393425213917,0.8554405162664496,0.0,100.0,21991,4713
,6,0.7269785404205322,1.263035090520033,0.8618091919754605,0.0,100.0,21991,4713
,7,0.7502990961074829,1.207889239598666,0.8761675580401215,0.0,100.0,21991,4713
,8,0.7610762119293213,1.181535347276203,0.8819243669909576,0.0,100.0,21991,4713
,9,0.7681996822357178,1.163788526411544,0.8853062151477027,0.0,100.0,21991,4713
,10,0.7630525827407837,1.176638420664698,0.8817517343936323,0.0,100.0,21991,4713
,11,0.7674918174743652,1.165564163706746,0.8833787489953414,0.0,100.0,21991,4713
,12,0.7708267569541931,1.157174900366469,0.8844295654791178,0.0,100.0,21991,4713
,13,0.7727230191230774,1.152377525739781,0.8862538800699966,0.0,100.0,21991,4713
,14,0.7811959981918335,1.130692860099373,0.8907893661457782,0.0,100.0,21991,4713
,15,0.7839522957801819,1.123548631118946,0.8920430708115434,0.0,100.0,21991,4713
,16,0.7877254486083984,1.113694338536847,0.8938451857554497,0.0,100.0,21991,4713
,17,0.7866774797439575,1.11643994269173,0.8929910357416163,0.0,100.0,21991,4713
,18,0.7867044806480408,1.11636941473959,0.8930229490753744,0.0,100.0,21991,4713
,19,0.7885968685150146,1.11140610567111,0.8952010954422436,0.0,100.0,21991,4713
,20,0.7886909246444702,1.111158844134444,0.8947887524271863,0.0,100.0,21991,4713
,21,0.7884648442268372,1.111753037246319,0.8945340480442711,0.0,100.0,21991,4713
,22,0.7845818400382996,1.121910515438232,0.8937148669549785,0.0,100.0,21991,4713
,23,0.780351459980011,1.132873007375157,0.8930050567034977,0.0,100.0,21991,4713
,24,0.7763140201568604,1.143237375332755,0.8902869984932299,0.0,100.0,21991,4713
,25,0.7722563743591309,1.15355998366363,0.888048341880178,0.0,100.0,21991,4713
,26,0.7643733024597168,1.173354626204088,0.8847250474606463,0.0,100.0,21991,4713
,27,0.7601057291030884,1.183932718517534,0.8833375962117914,0.0,100.0,21991,4713
,28,0.7542515397071838,1.198291382716304,0.8809356820566943,0.0,100.0,21991,4713
,29,0.751788318157196,1.20428193188558,0.8801434450217133,0.0,100.0,21991,4713
,30,0.7466018199920654,1.216798981347871,0.8770557532771527,0.0,100.0,21991,4713
,31,0.7437126636505127,1.223715911016374,0.8758449615521843,0.0,100.0,21991,4713
,32,0.73952317237854,1.233677437608919,0.8729716782293202,0.0,100.0,21991,4713
,33,0.737542986869812,1.238357734123165,0.872209104713087,0.0,100.0,21991,4713
,34,0.7335723042488098,1.247690116981621,0.8700124446734497,0.0,100.0,21991,4713
,35,0.7269980907440186,1.262989974546171,0.8657683598098821,0.0,100.0,21991,4713
Llama-3.1-8B,0,0.5933703184127808,1.541404297987431,0.7774633332133608,0.0,100.0,21991,4713
