Models,layer,accuracy,f1,auc,n_matched_pairs
,4,0.9621702339472374,0.9622641509433962,0.9919060098149666,13391
,5,0.9656545545047288,0.9655688622754492,0.9932762746832882,13391
,6,0.9649079143852664,0.9648291344474932,0.9938249504903396,13391
,7,0.9676455948232952,0.9673202614379084,0.9940799007750338,13391
,8,0.9671478347436536,0.9669504256384576,0.9944901997754751,13391
,9,0.9683922349427576,0.9682102628285356,0.9938450194631872,13391
,10,0.9671478347436536,0.9668341708542714,0.9949973749287984,13391
,11,0.9671478347436536,0.9668008048289738,0.9949582280434908,13391
,12,0.9644101543056248,0.9639344262295082,0.9943452571937976,13391
,13,0.9656545545047288,0.9651515151515152,0.9946301870552152,13391
,14,0.9661523145843705,0.9657430730478588,0.9952228411669638,13391
,15,0.9668989547038328,0.9665913087164028,0.99449936708406,13391
,16,0.964161274265804,0.963837267704671,0.9942332673700056,13391
,17,0.961423593827775,0.9609473418997228,0.9934376936439084,13391
,18,0.9611747137879542,0.9606458123107972,0.9932855658744212,13391
,19,0.9576903932304628,0.957286432160804,0.9923497571034874,13391
,20,0.9606769537083126,0.960321446509292,0.9927158300341344,13391
,21,0.9571926331508211,0.956543708943911,0.9922766663999062,13391
,22,0.9591836734693876,0.9587525150905432,0.9924156626192584,13391
,23,0.9576903932304628,0.9577954319761668,0.9923294403655428,13391
,24,0.9599303135888502,0.9594151751953616,0.992731067587593,13391
,25,0.958934793429567,0.9590062111801242,0.9924041415422532,13391
,26,0.9611747137879542,0.9609414121181772,0.993023925932111,13391
,27,0.957441513190642,0.9571535955900776,0.9917382728443755,13391
Qwen3-4B-Base,0,0.8521488133418859,0.8508573277256551,0.9244758547793624,10393
,1,0.8925593329057088,0.8916909149692854,0.9531919813403188,10393
,2,0.9134060295060936,0.9133504492939666,0.9689900887931238,10393
,3,0.9162924951892238,0.9151219512195122,0.9719088526098334,10393
,4,0.9390635022450288,0.9381912817176318,0.981694158481387,10393
,5,0.9496472097498396,0.9489762755931102,0.9849647045173364,10393
,6,0.944194996792816,0.942422236929186,0.9851786539372248,10393
,7,0.9531751122514432,0.9527813712807244,0.9884829381509256,10393
,8,0.9557408595253368,0.9552238805970148,0.9872115848673576,10393
,9,0.9512508017960232,0.9499341238471674,0.9872187850882193,10393
,10,0.9457985888389994,0.9447531873161163,0.9856051127328294,10393
,11,0.950288646568313,0.9491302920905808,0.9863195803628996,10393
,12,0.9522129570237332,0.9512912716574043,0.9879056861584188,10393
,13,0.950288646568313,0.9490968801313628,0.9870647003617804,10393
,14,0.9567030147530468,0.9561830574488802,0.989641145106668,10393
,15,0.9541372674791532,0.9535864978902954,0.9870138873745566,10393
,16,0.9567030147530468,0.9565217391304348,0.988258496980639,10393
,17,0.95349583066068,0.9524745984922977,0.9877526300349602,10393
,18,0.949326491340603,0.9496494582536648,0.9884467313260216,10393
,19,0.9557408595253368,0.9549019607843138,0.98881990848725,10393
,20,0.9531751122514432,0.9521625163827,0.9880550393111488,10393
,21,0.9541372674791532,0.9533137446947436,0.989084053732574,10393
,22,0.9538165490699166,0.9530944625407166,0.9886117192440508,10393
,23,0.9554201411161,0.9548847776695878,0.9884261592664167,10393
,24,0.9579858883899935,0.9577010009686794,0.9892938887405414,10393
,25,0.9573444515715204,0.957082929977412,0.9870856838625768,10393
,26,0.9554201411161,0.9552334943639292,0.9865059632229176,10393
,27,0.9557408595253368,0.9552238805970148,0.9867351359669136,10393
,28,0.9486850545221296,0.9483870967741936,0.984672786991546,10393
,29,0.9499679281590764,0.9496449322143318,0.9840969750432116,10393
,30,0.950288646568313,0.9495934959349592,0.9869721260935592,10393
