Models,layer,accuracy,precision,recall,f1,auc,n_high,n_low
,2,0.9516445753559156,0.9646766169154228,0.9389830508474576,0.9516564417177914,0.98763024019033,13768,13391
,3,0.9536082474226804,0.972306143001007,0.9351089588377725,0.9533448531226858,0.990500616475256,13768,13391
,4,0.960726558664703,0.96759941089838,0.9544794188861986,0.9609946367625548,0.9920153498120444,13768,13391
,5,0.963917525773196,0.9795,0.9486682808716708,0.9638376383763838,0.9944843844346928,13768,13391
,6,0.9680903289150712,0.9773063640848544,0.9593220338983052,0.9682306940371456,0.9939632428888404,13768,13391
,7,0.9702994599901816,0.9741463414634146,0.9670702179176756,0.9705953827460512,0.994783763620608,13768,13391
,8,0.96759941089838,0.9726161369193154,0.9631961259079904,0.967883211678832,0.9946106925614396,13768,13391
,9,0.9690721649484536,0.9722357525572332,0.9665859564164648,0.9694026226323458,0.9949440592394756,13768,13391
,10,0.9658811978399608,0.9800598205383848,0.9520581113801452,0.9658560550233358,0.9949221240495252,13768,13391
,11,0.9646539027982328,0.9800099950024987,0.949636803874092,0.9645843580914903,0.9950173372366724,13768,13391
,12,0.9668630338733432,0.9675387596899224,0.9670702179176756,0.9673044320658756,0.9943679591957258,13768,13391
,13,0.9656357388316152,0.9670063076176614,0.9651331719128328,0.966068831798352,0.9945617602146274,13768,13391
,14,0.966372115856652,0.968415937803693,0.9651331719128328,0.9667717681300024,0.9945716431024072,13768,13391
,15,0.9666175748649976,0.9863842662632376,0.9472154963680388,0.966403162055336,0.9951453326857228,13768,13391
,16,0.9646539027982328,0.964683115626512,0.9656174334140436,0.9651500484027106,0.9935286368725722,13768,13391
,17,0.9617083946980854,0.9653827401267674,0.9588377723970944,0.9620991253644317,0.9928628677006736,13768,13391
,18,0.962690230731468,0.9663578742077036,0.9598062953995158,0.9630709426627794,0.992984113860509,13768,13391
,19,0.9634266077565048,0.9691478942213516,0.9583535108958838,0.9637204772339908,0.9928997477453156,13768,13391
,20,0.963917525773196,0.9668938656280428,0.9617433414043584,0.9643117261471232,0.9924022287117172,13768,13391
,21,0.9614629356897398,0.9685658153241652,0.9549636803874092,0.9617166544745184,0.9925314293909848,13768,13391
