Models,layer,accuracy,f1,auc
,16,0.9487855084396872,0.9487137203166228,0.98550525317031
,18,0.9477974475092632,0.9478103391504774,0.9848756711004256
,20,0.9477151090983944,0.9477323236480368,0.9864143180456836
,24,0.9421160971593248,0.9421542006089032,0.9819890741911051
,27,0.9404693289419516,0.940380968087738,0.9783512011414918
,28,0.938328530259366,0.9384197977472662,0.9791385990649124
,32,0.9351996706463566,0.9350927835051548,0.97466558605044
,35,0.937093454096336,0.9369220607661825,0.9783291131592416
Qwen2.5-3B,0,0.7833676410045286,0.7787402236985955,0.8719830989105541
,4,0.8867846850555784,0.8861095005383914,0.9568256827830566
,8,0.9264717990942776,0.9262653785814547,0.9786084468132236
,9,0.9412103746397694,0.9411570792813582,0.984704567203547
,12,0.9438452037875668,0.9435990737677804,0.9882874033471116
,16,0.95232606010704,0.9522789087612296,0.9899183615159172
,18,0.952573075339646,0.952396694214876,0.990265043854882
,20,0.951832029641828,0.9517605343448504,0.9897906064706372
,24,0.9517496912309592,0.9516182298546896,0.9902280000442572
,27,0.9539728283244132,0.9538359897596828,0.9907626404003812
,28,0.952820090572252,0.9526954511681665,0.9900342115591008
,32,0.9494442157266364,0.9493983847041372,0.9880592828969104
,35,0.9441745574310416,0.9441331575477916,0.9846643505335936
SmolLM3-3B-Base,0,0.7040757513379992,0.6991461577096936,0.7845125739601644
,4,0.9430218196788802,0.943148209004272,0.9861958653249756
,8,0.9553725813091808,0.9555300295372496,0.9919062799184364
,9,0.95603128859613,0.9561576354679804,0.9917730469450842
,12,0.9587484561547962,0.958897366477972,0.9920937226849352
,16,0.9571016879374228,0.9571440322447972,0.9916052379405852
,18,0.9576780568135036,0.9576954732510288,0.99145497457699
,20,0.956278303828736,0.9562422744128554,0.9912989349823088
,24,0.9549608892548374,0.955020146369542,0.9907487286325553
,27,0.9519967064635652,0.9520992523210912,0.989480317099358
,28,0.9515026759983533,0.951709436746741,0.989446744451076
,32,0.9496088925483738,0.9497784342688332,0.9876624042962576
,35,0.9463976945244956,0.9463976945244956,0.9855132666739994
Llama-3.2-1B,0,0.745574310415809,0.7431848404255319,0.8282015994682179
,4,0.95603128859613,0.9559623948540328,0.9916614544994616
,8,0.9589954713874024,0.9588973258501156,0.99293735072646
,12,0.954549197200494,0.9545304777594728,0.9896726411879012
,15,0.9502675998353232,0.950197889182058,0.9873490234210172
SmolLM2-360M,0,0.6145738987237547,0.5992637616642411,0.6616848436252212
,4,0.8212433100041169,0.818766174138075,0.9022160280053376
,8,0.869658295594895,0.8694217602903572,0.9406281003174596
,12,0.8840675174969123,0.8839050131926122,0.9519010254464404
,16,0.8879374228077398,0.8873996856126417,0.9554293263753884
,20,0.892630712227254,0.8916943521594685,0.9561154504256186
,24,0.8887608069164266,0.8881715089810446,0.9536192779244704
,28,0.8797859201317415,0.8791190594469283,0.9475783435917028
,31,0.8736928777274598,0.8727393396382943,0.9416286357442508
