Models,layer,acc_mean,acc_std,f1_mean,f1_std,freq_diff_mean,freq_diff_std,cohens_h_mean,cohens_h_std,n_seeds
Qwen2.5-1.5B,0,0.7631453272951833,0.0046704390543611,0.7555893032975272,0.0019625484942269,0.3091511925150382,0.0160787922966789,0.7384954461696538,0.0342109204814785,5
,4,0.9168546727048168,0.0026910429926146,0.9159700634466554,0.0023993353318806,0.1763248432899409,0.0129582245912059,0.6274585167283646,0.0492285523614558,5
,7,0.939250720461095,0.0013219354295851,0.9390805640376756,0.0011623103338767,0.1206020365980208,0.0194497634384595,0.5058325157391844,0.0786590073267464,5
,8,0.9418196788801976,0.0010654475830133,0.9417616461447832,0.0011582818243369,0.1109910487551779,0.0041203867010237,0.4891284030402928,0.0240929842789014,5
,12,0.9459036640592836,0.0016696638097174,0.9457165689311312,0.0014985508257902,0.1068530595371674,0.0192817241739208,0.4645955853527962,0.0693727239724196,5
,14,0.9461177439275422,0.0010628992713448,0.9458590649560936,0.0011694811759716,0.1052737258607453,0.0140875430604777,0.456813618156011,0.0399351637209282,5
,16,0.9466117743927542,0.0005836161431591,0.9463559750425992,0.0005918067547907,0.1073990770346997,0.0068556137851163,0.4764529530951565,0.0204861880453132,5
,20,0.944273363524084,0.0014293720461178,0.9439886768336648,0.0014757691139506,0.1124090744193501,0.0099120600840883,0.4915855422811614,0.0542335894798717,5
,21,0.9428900782214904,0.0018823648453432,0.9426702408798776,0.0018859762699961,0.1136843526166151,0.011122552109635,0.493623148581621,0.0471647367512606,5
,24,0.936088925483738,0.0019921131481586,0.9360957757473444,0.0020356275517592,0.114529363626393,0.0071989948561096,0.4892912028917357,0.0457677922658437,5
,27,0.9333388225607246,0.0011272847156937,0.9331688988830013,0.0012405637821652,0.1206749289215479,0.0216100371817178,0.4908641898152219,0.0702337838441006,5
LLaMA-3.2-3B,0,0.7562783038287362,0.0028933487949305,0.7494484787388519,0.0054867902437801,0.3440338814318617,0.0125287196142839,0.8222965022391724,0.0334812554717884,5
,4,0.9671469740634006,0.0009094574736259,0.9670945524393484,0.0008397560700882,0.0773954492917464,0.0053327598011972,0.4401359536057726,0.0076657373733976,5
,7,0.9757595718402636,0.0007056166417662,0.975722332548788,0.0006795895418866,0.0533173600155233,0.008549998366089,0.3467465839017646,0.0644429548716614,5
,8,0.9760559901193908,0.0007535651668108,0.9760422111657938,0.0007250792093795,0.0501235963587584,0.0073421116773765,0.3346145465113288,0.0561263710697251,5
,12,0.9759242486620008,0.0010930869839621,0.9759236415913634,0.0010969747708077,0.0492303279310897,0.0048212418088772,0.3303546280994683,0.0482571054948223,5
,14,0.9748209139563606,0.0011051765655372,0.9747803016076588,0.0011235983608501,0.0520609798280618,0.0079792446219676,0.3257592883394792,0.045938952977617,5
,16,0.9735529024289832,0.000952282077879,0.9735549441970152,0.0009762629037328,0.0510519610903476,0.0047886203892186,0.3254094884713688,0.0275027625200266,5
,20,0.9715109098394402,0.0008822129426746,0.971490702349274,0.0008804410282639,0.0597075870447393,0.0051470087965093,0.3628032383121432,0.0184592503206493,5
,21,0.9715932482503088,0.0005361488874796,0.971558086715705,0.0006014508453621,0.0599012916452236,0.0043165954159649,0.3647829486349228,0.0144666849458754,5
,24,0.97027583367641,0.0012290231803734,0.9702422843198456,0.0012341343658261,0.062204486590006,0.0049881720446679,0.3690365976012073,0.018780056434506,5
,27,0.9688760806916428,0.0014993731926014,0.9688307848585715,0.0014487846698444,0.0628368949894964,0.0063210606422993,0.3614422323104427,0.028079084140125,5
Qwen3-4B-Base,0,0.796657060518732,0.0017893029006301,0.7830213427628469,0.0033053942230948,0.3920589081488885,0.0117333895966947,0.8672749592189894,0.0208251653754095,5
,4,0.9284643886372994,0.0019284773795369,0.9277837014309902,0.0022305944904826,0.1859723409882928,0.0160704855831035,0.6345473014214504,0.0412034827139474,5
,8,0.9498065047344586,0.0025193939195439,0.9497331122553584,0.0022845811126565,0.1279261103199301,0.0150905397470822,0.5340207649258797,0.0614424274890848,5
,9,0.9502675998353232,0.0022136632377316,0.9501377845326108,0.0021668941017579,0.1363015225221151,0.0099157365054486,0.5775450350808462,0.0447984385182244,5
,12,0.9558666117743928,0.0007759057382883,0.9558164468329352,0.0008447888128942,0.1084369949385312,0.0096697302620507,0.4774110251498065,0.0581538580869868,5
,16,0.9587155207904487,0.0010818653079065,0.9586728359882528,0.000911835732982,0.100672848415635,0.0114307947363571,0.4631424480756972,0.0355713212008855,5
,18,0.9577439275421986,0.0008874232085834,0.9576500683639396,0.0007958979619921,0.1040540967725284,0.0123264488343065,0.4677355880094334,0.0634344875972728,5
,20,0.9590448744339234,0.0008227251377058,0.958914606300564,0.000833084556659,0.1053123213090272,0.0044780248788674,0.4744632545661331,0.022413860731945,5
,24,0.9555537258130916,0.0009508571450474,0.9554034015394468,0.0008916959027004,0.1059346310657894,0.0087111122059473,0.4597136424441259,0.0569737230725949,5
,27,0.9522601893783452,0.0018377520133589,0.9520709907072714,0.0018228056988686,0.1237137551183897,0.0136768530606733,0.5199911072850522,0.0457838111268087,5
,28,0.9529188966652944,0.0018663050231709,0.9528462017445112,0.0019342507512942,0.1151834057133893,0.0059413571502414,0.5084959633323481,0.0388512130742225,5
,32,0.9498888431453274,0.0005274801935956,0.9498455529900932,0.0005083719051709,0.1204854432256389,0.0145737927166418,0.5132196503921808,0.0582649512073919,5
,35,0.9473034170440512,0.0008101028489912,0.94714431648473,0.0007581343768365,0.1167585472556468,0.0106353824145588,0.461408824857985,0.0357647513664541,5
Llama-3.1-8B,0,0.8083326471799095,0.0031997346349088,0.7989464785713133,0.0022698918961161,0.4157146818605429,0.0292121985352458,0.9504539962470326,0.0576380536328297,5
,4,0.9795142033758748,0.000926297973515,0.979497891359708,0.0009320490900598,0.0599333273844703,0.0081839377342939,0.3767714075742109,0.0498891036872239,5
,8,0.9849156031288596,0.0009775757648188,0.98491781108154,0.0009442629115277,0.0438234596212921,0.0062814592209691,0.3313165888288546,0.0430332368572179,5
,12,0.9855743104158088,0.0007408627009766,0.9855659790111542,0.0007418791335447,0.0415424574752999,0.0042839500362543,0.3089693044703955,0.0363044125775327,5
,16,0.983598188554961,0.0014208088668669,0.9836030729570449,0.0014392824075682,0.0385199015476513,0.0057120374856847,0.2741807187885239,0.0154898378201772,5
,20,0.9819349526554138,0.0010212618680091,0.9819619664735468,0.0010240203490331,0.0412104148851755,0.0029487892802397,0.2872052462121209,0.012190534182553,5
,24,0.9803869905310828,0.0016297182404265,0.9804102212813574,0.0016193907002297,0.0430416509775409,0.0041536352750392,0.2905836730981811,0.0465861799397126,5
,28,0.9796294771510908,0.0016603801366181,0.979625407441928,0.0016897177236309,0.0520147238360402,0.0065441765257635,0.3345549292956281,0.0386694539197768,5
,31,0.9783614656237136,0.000665669260812,0.9783236681209124,0.0006765106811285,0.0573132400482258,0.0049014991348265,0.3384096693116888,0.0293865807723444,5
Qwen3-8B-Base,0,0.7888843145327294,0.005504493660769,0.7812257764049465,0.0036765884357127,0.3471528088170152,0.0241518317883089,0.7813037091933233,0.0491792005217766,5
,4,0.9219267188143268,0.0042156623091016,0.9212925141938524,0.0040031561168746,0.2013245690308861,0.0094592176406856,0.6778217945105982,0.0221808957551206,5
,8,0.9506134211609716,0.0039970697945496,0.9504209663389436,0.003872465921172,0.1240337132469307,0.008224452947054,0.5090671063564134,0.0446656575493287,5
,9,0.9512721284479208,0.0034383163818791,0.9514080945212082,0.0031427249189536,0.0972130910732242,0.016860757721435,0.4150360701866217,0.0847091272173292,5
,12,0.9589625360230548,0.0022134182144049,0.9589186214250514,0.0021898191100093,0.0920936809870204,0.0150174786632634,0.4101173128159198,0.0637269138027582,5
,16,0.9619267188143268,0.0020558897082639,0.9618575109999375,0.0020732311116548,0.0858584189282683,0.0105507317359043,0.402579879854105,0.042983415270166,5
,18,0.962107863318238,0.0027714673674975,0.962096643704804,0.0026862029575635,0.0813789250991466,0.0151904982814383,0.3889308731497549,0.0781240496612662,5
