Models,layer,accuracy,f1_macro,chance
Qwen2.5-1.5B,0,0.6015149020253582,0.5988004813033286,0.3333333333333333
,1,0.6525605137493825,0.6494317925183498,0.3333333333333333
,2,0.6849991766836818,0.6820286757294555,0.3333333333333333
,3,0.7044294417915363,0.7023990331757979,0.3333333333333333
,4,0.7208957681541248,0.719211712720182,0.3333333333333333
,5,0.7240243701630167,0.7221775546590291,0.3333333333333333
,6,0.732092870080685,0.7308218935109396,0.3333333333333333
,7,0.7315988802898074,0.7305912840197767,0.3333333333333333
,8,0.7380207475712168,0.7366192213307835,0.3333333333333333
,9,0.7395027169438498,0.7383353235449494,0.3333333333333333
,10,0.7345628190350733,0.7336489149657913,0.3333333333333333
,11,0.737856084307591,0.7365444280109799,0.3333333333333333
,12,0.7403260332619792,0.7387796095983106,0.3333333333333333
,13,0.7325868598715627,0.7314425631580197,0.3333333333333333
,14,0.7375267577803392,0.7364742416401889,0.3333333333333333
,15,0.7451012679071299,0.7446938531210027,0.3333333333333333
,16,0.7350568088259509,0.7344397890985741,0.3333333333333333
,17,0.7375267577803392,0.7366410123334405,0.3333333333333333
,18,0.7373620945167133,0.7360069650359954,0.3333333333333333
,19,0.7424666556891157,0.7408846363688643,0.3333333333333333
,20,0.7345628190350733,0.7329788357242268,0.3333333333333333
,21,0.7370327679894616,0.7356275074441241,0.3333333333333333
,22,0.7386794006257204,0.7369984604450908,0.3333333333333333
,23,0.7283056150172896,0.7267404323217647,0.3333333333333333
,24,0.7269883089082826,0.7252820129844801,0.3333333333333333
,25,0.723530380372139,0.721086996347491,0.3333333333333333
,26,0.7240243701630167,0.7219625650364959,0.3333333333333333
,27,0.7174378396179812,0.7143467080695592,0.3333333333333333
LLaMA-3.2-3B,0,0.6272023711509962,0.6243974568146845,0.3333333333333333
,1,0.6767660135023876,0.6745670323550622,0.3333333333333333
,2,0.7197431253087436,0.7185173381128117,0.3333333333333333
,3,0.7385147373620945,0.7372435764202008,0.3333333333333333
,4,0.7446072781162523,0.7431390042812286,0.3333333333333333
,5,0.7546517371974313,0.752959741344127,0.3333333333333333
,6,0.7561337065700642,0.7546646104873629,0.3333333333333333
,7,0.7584389922608266,0.7569537166436024,0.3333333333333333
,8,0.7627202371150996,0.7613337743288429,0.3333333333333333
,9,0.7508644821340359,0.7497166450127607,0.3333333333333333
,10,0.7604149514243372,0.7589913044456075,0.3333333333333333
,11,0.7546517371974313,0.7531603604622433,0.3333333333333333
,12,0.7569570228881937,0.7554920110384885,0.3333333333333333
,13,0.7508644821340359,0.749185852021934,0.3333333333333333
,14,0.7614029310060926,0.7598161503233891,0.3333333333333333
,15,0.7539930841429278,0.7521397658445087,0.3333333333333333
